participant_id,respc.corr_mean.incongruent,respc.corr_std.incongruent,respc.rt_mean.incongruent,respc.rt_std.incongruent,respc.corr_mean.congruent,respc.corr_std.congruent,respc.rt_mean.congruent,respc.rt_std.congruent,sex,age
1203,1.0,0.0,0.715110540390015,0.2545403739924077,0.9666666666666668,0.074535599249993,0.773110397656759,0.2573069915238598,f,31.0
1204,1.0,0.0,0.606517577171326,0.1260100706299347,1.0,0.0,0.67750076452891,0.1736841328475885,m,35.0
1205,1.0,0.0,0.995745436350504,0.2658985353516571,0.9666666666666668,0.074535599249993,1.118970553080241,0.252093554092101,f,33.0
1206,0.933333333333333,0.0912870929175277,0.704572534561157,0.1555701566341125,0.9666666666666668,0.074535599249993,0.816686471303304,0.2197710535364084,m,25.0
1207,1.0,0.0,0.683635600407918,0.2242033237990122,0.9,0.223606797749979,0.797773973147074,0.2247229782137291,m,32.0
1208,0.933333333333333,0.149071198499986,0.630466341972351,0.1210409371820353,0.9666666666666668,0.074535599249993,0.722233899434408,0.1577768365620215,m,63.0
1209,0.966666666666667,0.074535599249993,0.802695759137471,0.1709038677384805,0.9666666666666668,0.074535599249993,0.926135039329529,0.3676399547133075,f,48.0
1210,1.0,0.0,0.751313352584839,0.1728810748464309,1.0,0.0,0.854102222124736,0.1828093367434679,m,69.0
1212,1.0,0.0,1.220918528238932,0.33374479997847,1.0,0.0,1.359557406107585,0.4378860968342104,f,62.0
1213,0.966666666666667,0.074535599249993,0.892551453908284,0.1848981874279118,0.9333333333333332,0.149071198499986,0.918663422266642,0.202476707814041,f,34.0
1214,1.0,0.0,0.588242204984029,0.0949305271717417,0.9333333333333332,0.149071198499986,0.76503070195516,0.354212544203729,m,31.0
1215,1.0,0.0,0.708548029263814,0.1675444542102508,1.0,0.0,0.819298195838928,0.2445707168100051,m,40.0
1217,0.966666666666667,0.074535599249993,0.727152450879415,0.1512331205327323,1.0,0.0,0.765044705073039,0.2138089456102258,m,31.0
1220,1.0,0.0,1.237017218271891,0.5189498436560764,0.9333333333333332,0.149071198499986,1.306124416987101,0.4340498326589237,f,56.0
1221,0.966666666666667,0.074535599249993,0.560104195276896,0.12478734143873,0.9666666666666668,0.074535599249993,0.61424237092336,0.2003688775542802,f,30.0
1222,1.0,0.0,0.745140488942464,0.2115323283188527,0.9666666666666668,0.074535599249993,0.851795450846354,0.2451030211157623,m,30.0
1223,1.0,0.0,0.683723632494609,0.1430596319686624,0.9,0.1658226921675207,0.716994333267212,0.1859788267049416,m,31.0
1226,0.9,0.223606797749979,0.645925172170003,0.1163307632624243,0.9666666666666668,0.074535599249993,0.794499373435974,0.2605802108080961,f,47.0
1227,1.0,0.0,0.67152636051178,0.1307739015267916,1.0,0.0,0.746000258127848,0.1768229370664071,f,48.0
1228,0.933333333333333,0.149071198499986,0.661370595296224,0.1093985894779971,0.9666666666666668,0.074535599249993,0.678695201873779,0.1476447485318667,f,30.0
1229,1.0,0.0,0.808952212333679,0.2867558854225567,0.9666666666666668,0.074535599249993,0.855864286422729,0.3263014554187794,f,43.0
1231,1.0,0.0,1.459266312917074,0.7299620249373314,0.9666666666666668,0.074535599249993,1.558599503835042,0.4257112198659786,m,56.0
1232,1.0,0.0,0.748700404167175,0.2366511061071681,0.8666666666666667,0.2403582914175137,1.040278434753418,0.3960346182294789,m,36.0
1235,0.966666666666667,0.074535599249993,0.731231594085693,0.2354980488617036,0.9333333333333332,0.149071198499986,0.863737893104553,0.3272239922570261,f,33.0
1236,1.0,0.0,1.098918581008911,0.3527893015696522,1.0,0.0,1.076083056131999,0.2996210921758948,f,41.0
1237,1.0,0.0,0.797012122472127,0.1676297054023203,0.9333333333333332,0.149071198499986,1.196285581588745,0.4340240257448825,f,62.0
1240,1.0,0.0,0.95349063873291,0.2637922527024408,0.9,0.223606797749979,1.17226923306783,0.2987477959307626,f,35.0
1241,0.933333333333333,0.149071198499986,1.198140891393026,0.6228334302719765,1.0,0.0,1.321498743693034,0.4891088210014768,m,39.0
1242,0.966666666666667,0.074535599249993,0.78054936726888,0.143599757354454,1.0,0.0,0.849753419558207,0.2019813291637485,m,41.0
1243,0.966666666666667,0.074535599249993,0.859315299987793,0.1458878996223942,0.9,0.223606797749979,1.183698256810506,0.4195097360395499,m,33.0
1244,1.0,0.0,1.024205366770427,0.263957598538654,1.0,0.0,1.227874342600505,0.5434935001182581,f,50.0
1245,1.0,0.0,0.780434974034627,0.2509668106587962,1.0,0.0,0.882976881663005,0.2564051399114618,f,58.0
1246,0.9,0.1658226921675207,0.624302275975545,0.1876906880958432,0.9333333333333332,0.149071198499986,0.596278063456217,0.141816487756962,m,31.0
1248,0.9,0.223606797749979,0.686773077646891,0.258131941439411,0.9333333333333332,0.149071198499986,0.732733249664307,0.2582422066003106,f,26.0
1252,1.0,0.0,1.182219489415487,0.2657518669854725,1.0,0.0,1.329082663853963,0.2957245857651724,f,58.0
1253,1.0,0.0,0.681428980827331,0.1498269723447138,1.0,0.0,0.74426056543986,0.2096044107491994,m,60.0
1254,1.0,0.0,0.789762989679972,0.276020559086821,0.9666666666666668,0.074535599249993,1.052125151952108,0.2824557352449957,m,70.0
1255,1.0,0.0,1.042634757359823,0.2563848422776605,1.0,0.0,1.220228370030721,0.411057633423264,f,77.0
1256,0.9,0.223606797749979,0.894932222366333,0.4288104982051246,0.9,0.223606797749979,0.835816709200541,0.3517784837678076,m,34.0
1260,1.0,0.0,1.056206353505452,0.3348998703314233,0.9666666666666668,0.074535599249993,1.176095771789551,0.3148798844163663,f,37.0
1261,1.0,0.0,0.97165854771932,0.3180272856433749,0.9666666666666668,0.074535599249993,1.394150098164876,0.492228149057122,f,47.0
1262,1.0,0.0,0.752535303433736,0.2005949474750512,1.0,0.0,0.890451868375142,0.2273505617085272,f,75.0
1263,1.0,0.0,0.643850986162821,0.1769702484934658,0.9666666666666668,0.074535599249993,0.697815370559692,0.1774054563338201,m,46.0
1265,1.0,0.0,0.915248982111613,0.2070640819115739,1.0,0.0,1.190120474497477,0.2799964122368068,f,65.0
1268,1.0,0.0,0.664432183901469,0.1936383394292077,1.0,0.0,0.82085595925649,0.2464176456230214,f,50.0
1269,0.833333333333333,0.3148938906675067,1.598871564865112,0.4807741339239477,0.8333333333333334,0.2571097850850484,1.895812813440958,1.0025527622928516,m,32.0
1270,1.0,0.0,1.213959487279256,0.3412204014133614,1.0,0.0,1.531747182210286,0.4988234169388027,f,45.0
1272,1.0,0.0,1.013385121027629,0.4099035762814083,0.6666666666666666,0.5142195701700968,1.467014392217,0.6157708103888188,m,37.0
1274,0.9,0.223606797749979,0.831387646993001,0.2678368734347989,1.0,0.0,1.019272263844808,0.5402092404386745,f,62.0
1277,1.0,0.0,0.897213673591614,0.3572282274265095,0.9333333333333332,0.149071198499986,1.047465991973877,0.3558516832257111,f,61.0
1278,0.933333333333333,0.149071198499986,0.986555258433024,0.4266404676883568,1.0,0.0,0.884926652908325,0.2925691568658507,f,66.0
1279,0.966666666666667,0.074535599249993,0.849968330065409,0.2545747013614294,1.0,0.0,1.01656691233317,0.2397907642822524,f,55.0
1281,1.0,0.0,1.313854622840881,1.0079274268692495,0.7666666666666667,0.4639650891674927,0.995216814676921,0.1915347465236295,m,61.0
1282,1.0,0.0,0.900682385762533,0.4368451767026147,0.8666666666666667,0.2403582914175137,1.164707533518473,0.4374975077690151,m,33.0
1284,1.0,0.0,0.945477040608724,0.2427733690920508,1.0,0.0,0.899214824040731,0.2311327071791487,f,53.0
1285,1.0,0.0,0.674596993128459,0.1302565055982439,1.0,0.0,0.873251914978027,0.2133897265427243,f,55.0
1286,1.0,0.0,0.730990028381348,0.1181807447453681,1.0,0.0,0.745009716351827,0.1334894803534115,m,30.0
1291,1.0,0.0,0.741619888941447,0.1210091664094003,1.0,0.0,0.747384389241536,0.0954866532226284,f,53.0
1295,1.0,0.0,0.94375581741333,0.1469551646572008,1.0,0.0,1.006346368789673,0.1645850412752572,f,65.0
1296,1.0,0.0,0.899287406603495,0.2745226410373636,0.9333333333333332,0.149071198499986,0.893389733632405,0.2921946982082381,m,42.0
1298,0.933333333333333,0.149071198499986,1.24341238339742,0.3881847851093057,0.9666666666666668,0.074535599249993,2.110162862141927,0.8905489968128393,f,74.0
1299,1.0,0.0,0.532929929097493,0.1057214899716151,1.0,0.0,0.596278421084086,0.1974666007471825,f,45.0
1301,1.0,0.0,0.686898446083069,0.1285187159360439,1.0,0.0,0.838484358787537,0.2465869335194578,m,45.0
1302,1.0,0.0,0.749611234664917,0.2028561343048466,0.9333333333333332,0.0912870929175277,1.099642833073934,0.4902191320195479,f,50.0
1303,1.0,0.0,1.184637991587321,0.3427585833746077,0.8333333333333334,0.372677996249965,1.605110359191895,0.5048651294165282,f,67.0
1305,0.933333333333333,0.0912870929175277,0.700634860992432,0.2522271704268038,0.8666666666666667,0.298142396999972,0.785233775774638,0.2361144971012403,f,50.0
1309,0.933333333333333,0.0912870929175277,0.481819311777751,0.070942712864051,0.9666666666666668,0.074535599249993,0.634767325719198,0.2247668563056042,f,36.0
1310,1.0,0.0,0.727446444829305,0.1894742623790669,0.9666666666666668,0.074535599249993,0.838272666931152,0.2108857494562931,f,40.0
1311,1.0,0.0,0.679625725746155,0.1605215806172728,0.9666666666666668,0.074535599249993,0.857679708798726,0.1935495935795395,m,52.0
1313,0.966666666666667,0.074535599249993,0.571455923716227,0.105241839334733,0.9333333333333332,0.149071198499986,0.635140117009481,0.1928817856287161,f,42.0
1318,1.0,0.0,1.123818731307983,0.371691064006181,0.9666666666666668,0.074535599249993,1.307286437352498,0.4607210740449321,f,47.0
1320,0.966666666666667,0.074535599249993,0.890373873710632,0.1676217058625401,0.9666666666666668,0.074535599249993,1.185262139638265,0.2450970780008643,f,69.0
1322,1.0,0.0,0.783137226104736,0.1555719259991331,0.0,0.0,0.998394966125488,0.214636496535046,f,71.0
1327,1.0,0.0,0.74638032913208,0.1472080924317497,1.0,0.0,0.857424958546956,0.2232457267021491,f,57.0
1328,1.0,0.0,0.886774961153666,0.2302309094760786,0.9666666666666668,0.074535599249993,0.920639832814535,0.1588537109555626,f,43.0
1330,1.0,0.0,0.779696822166443,0.1619084720610788,0.9666666666666668,0.074535599249993,0.902231868108114,0.2766426052774057,f,42.0
1334,0.966666666666667,0.074535599249993,0.845209749539693,0.3174203151543618,1.0,0.0,0.952559693654378,0.3506551154199004,f,38.0
1335,1.0,0.0,0.96380778948466,0.0962560429032108,0.9333333333333332,0.0912870929175277,1.203388659159342,0.1942150925338758,f,64.0
1339,0.933333333333333,0.149071198499986,0.7745387951533,0.1924817737135709,0.8,0.3316453843350414,0.981409883499146,0.3619552521504938,m,37.0
1219,0.966666666666667,0.074535599249993,1.106419038772583,0.4355644590512575,0.8666666666666667,0.298142396999972,1.593724203109741,0.9311167415017524,f,52.0
1292,0.966666666666667,0.074535599249993,0.730752929051717,0.306953288441949,1.0,0.0,0.738735930124919,0.2483230898070819,f,55.0
1314,0.933333333333333,0.149071198499986,0.974725230534871,0.2947887490341198,0.0333333333333333,0.074535599249993,1.213396406173706,0.5291020452215921,f,72.0
1319,1.0,0.0,0.725577791531881,0.2374608991390291,1.0,0.0,0.751577035586039,0.2124066552173592,f,66.0
1326,0.933333333333333,0.149071198499986,0.937385209401449,0.4208972871445406,1.0,0.0,0.886706781387329,0.254679761128473,f,63.0
1337,0.966666666666667,0.074535599249993,0.672101696332296,0.2613078485857219,0.9666666666666668,0.074535599249993,0.65481907526652,0.181992867729343,f,56.0
1344,0.966666666666667,0.074535599249993,1.10505526860555,0.2711455803510984,0.8666666666666667,0.2403582914175137,1.289604902267456,0.3508264750396194,f,64.0
1345,0.966666666666667,0.074535599249993,0.810246181488037,0.1943191081857399,0.9666666666666668,0.074535599249993,1.032755374908447,0.2722839888705109,f,55.0
